pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,835.67
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,837.14
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,840.96
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,843.2
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,840.15
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,837.17
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,835.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,835.67
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,837.14
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,841.53
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,843.2
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,840.17
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,837.17
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,835.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,835.67
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,838.09
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,841.53
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,843.2
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,840.34
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,837.14
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,835.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,836.09
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,838.97
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,843.2
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,843.87
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,841.84
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,837.14
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,836.06
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,836.61
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,839.16
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,843.2
